Issues / Notes	Ontology ID	parent class	Equivalence axiom	Subclass axiom	label	definition	references	definition source	alternative label	Reported	term tracker item	entity type	created	parent class ID	is about label	alt definition	is about	comment	example of usage	contributor	curation status	editor note	database cross reference	see also	Subclass ID	Subclass label	english exact synonym	english broad synonym	english narrow synonym	english related synonym	Dbxref
	GENEPIO:0101625	protein name (MPOX)			Crescent membrane and immature virion formation protein (MPOX)	A protein name that denotes the Crescent membrane and immature virion formation protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377078.1,GeneID:72551491
	GENEPIO:0101626	protein name (MPOX)			Internal virion L3/FP4 protein (MPOX)	A protein name that denotes the Internal virion L3/FP4 protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377079.1,GeneID:72551492
	GENEPIO:0101627	protein name (MPOX)			Nucleic acid binding protein VP8/L4R (MPOX)	A protein name that denotes the Nucleic acid binding protein VP8/L4R (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377080.1,GeneID:72551493
	GENEPIO:0101628	protein name (MPOX)			Membrane protein CL5 (MPOX)	A protein name that denotes the Membrane protein CL5 (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377081.1,GeneID:72551494
	GENEPIO:0101629	protein name (MPOX)			IMV membrane protein J1 (MPOX)	A protein name that denotes the IMV membrane protein J1 (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377082.1,GeneID:72551495
	GENEPIO:0101630	protein name (MPOX)			Thymidine kinase protein (MPOX)	A protein name that denotes the Thymidine kinase protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377083.1,GeneID:72551496
	GENEPIO:0101631	protein name (MPOX)			Cap-specific mRNA protein (MPOX)	A protein name that denotes the Cap-specific mRNA protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377084.1,GeneID:72551497
	GENEPIO:0101632	protein name (MPOX)			DNA-directed RNA polymerase subunit protein (MPOX)	A protein name that denotes the DNA-directed RNA polymerase subunit protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377085.1,GeneID:72551498
	GENEPIO:0101633	protein name (MPOX)			DNA-dependent RNA polymerase subunit rpo147 protein (MPOX)	A protein name that denotes the DNA-dependent RNA polymerase subunit rpo147 protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377087.1,GeneID:72551500
	GENEPIO:0101634	protein name (MPOX)			Tyr/ser protein phosphatase (MPOX)	A protein name that denotes the Tyr/ser protein phosphatase (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377088.1,GeneID:72551501
	GENEPIO:0101635	protein name (MPOX)			Entry-fusion complex essential component protein (MPOX)	A protein name that denotes the Entry-fusion complex essential component protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377089.1,GeneID:72551502
	GENEPIO:0101636	protein name (MPOX)			IMV heparin binding surface protein (MPOX)	A protein name that denotes the IMV heparin binding surface protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377090.1,GeneID:72551503
	GENEPIO:0101637	protein name (MPOX)			RNA polymerase-associated transcription-specificity factor RAP94 protein (MPOX)	A protein name that denotes the RNA polymerase-associated transcription-specificity factor RAP94 protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377091.1,GeneID:72551504
	GENEPIO:0101638	protein name (MPOX)			Late transcription factor VLTF-4 (1) protein (MPOX)	A protein name that denotes the Late transcription factor VLTF-4 (1) protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377092.1,GeneID:72551505
	GENEPIO:0101639	protein name (MPOX)			DNA topoisomerase type I protein (MPOX)	A protein name that denotes the DNA topoisomerase type I protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377093.1,GeneID:72551506
	GENEPIO:0101640	protein name (MPOX)			Late protein H7 (MPOX)	A protein name that denotes the Late protein H7 (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377094.1,GeneID:72551507
